,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,6.940310795714473e-07,1.300563562714595e-06,1.7129842238612809e-06,1.811520244151338e-06,1.6982526872760543e-06,1.5608487939428932e-06,1.3899362905116479e-06,1.4229202356319723e-06,1.577882211363913e-06,1.7359597393768606e-06,1.984903794776107e-06,1.993464215265328e-06,1.7642014297182056e-06,1.7387184086240833e-06,1.7672595725368066e-06,1.8759243209776056e-06,2.3741745013911223e-06,2.5950525891600602e-06,2.070949228349856e-06,1.6613683678269487e-06,1.6393963619854472e-06,1.6378135056308847e-06,1.619974062240933e-06,1.547426703861374e-06,1.0680158700151324e-06
1,1.267600804409529e-06,2.17485927584326e-06,2.8393973867873425e-06,3.0495579315928815e-06,2.7572372647236682e-06,2.4960045158878594e-06,2.2524233727054212e-06,2.2694816193611015e-06,2.6489932128950283e-06,3.3022510196420387e-06,4.007291822309602e-06,3.9222573174411955e-06,3.358461086065568e-06,3.2621271156306667e-06,3.3971357878770894e-06,3.678775695581483e-06,4.101429852693151e-06,4.031290730861203e-06,3.1446618441695686e-06,2.5873594438920586e-06,2.7789595955307064e-06,2.966384956810773e-06,2.998475696526522e-06,2.8822515850444882e-06,1.9237736096383147e-06
2,1.381962013653327e-06,2.237588566918692e-06,2.7703128757953175e-06,3.038870613132661e-06,2.9353789123590404e-06,2.7656258089875767e-06,2.524037662974348e-06,2.505803585066824e-06,2.980940459049942e-06,4.009879856598958e-06,4.984800919590242e-06,4.7876035937618955e-06,4.024056936148441e-06,3.9337110772671605e-06,4.204233076828057e-06,4.514471656880258e-06,4.67742719411446e-06,4.4317468610594176e-06,3.610218027558821e-06,3.002987227468701e-06,3.3237051387231313e-06,3.937693755538917e-06,4.003723199643788e-06,3.538297450706809e-06,2.142647134773412e-06
3,1.4551016475960232e-06,2.204581138519828e-06,2.351772168614496e-06,2.489746788187559e-06,2.573854556173819e-06,2.4049508766761537e-06,2.1535749408141504e-06,2.2850236095096827e-06,2.9059202755407305e-06,3.8572734679178024e-06,4.4892807063943155e-06,4.300486462753089e-06,3.9055087590719625e-06,3.962950090405873e-06,4.1739156287731305e-06,4.281723941665079e-06,4.428078174796028e-06,4.436791576112096e-06,3.8806918434403344e-06,3.1553977850149804e-06,3.311467908592821e-06,4.166109598272474e-06,4.365245140296667e-06,3.632332162161758e-06,2.0763152765188694e-06
4,1.5856823069329044e-06,2.2987658590351814e-06,2.155062179813966e-06,2.0264721306893835e-06,2.0181620459763146e-06,1.7335881686904005e-06,1.3717660816540734e-06,1.6352336456179876e-06,2.4990660496466706e-06,3.3142651744471333e-06,3.569105431530249e-06,3.5691301446223582e-06,3.869184010746363e-06,4.216136918309748e-06,4.31685829713808e-06,4.229885474910245e-06,4.347231732073143e-06,4.20264240542618e-06,3.540246672233154e-06,2.955590633889935e-06,3.079963812549449e-06,3.918663982017488e-06,4.3362137295190205e-06,3.720753425282008e-06,2.265640296858278e-06
5,1.5334305339838069e-06,2.3676216029889175e-06,2.274947170107796e-06,2.060982293448425e-06,2.167846809941228e-06,1.974525400439981e-06,1.320965865752249e-06,1.1880222195249336e-06,1.9210014211085404e-06,2.7711263804594756e-06,3.07136053927536e-06,3.329423867153752e-06,3.999633285661017e-06,4.523291194282948e-06,4.583425391145062e-06,4.28053021905246e-06,4.185235099910906e-06,3.7022521460013586e-06,3.0206801497848163e-06,2.8022159894034866e-06,2.9182760622431114e-06,3.637178189568995e-06,4.20720016441952e-06,3.7497302632274407e-06,2.379230083263927e-06
6,1.6749421365953905e-06,2.7853287559126687e-06,2.8730127982359473e-06,2.7763903632333763e-06,3.147624293333105e-06,3.0326990585189343e-06,2.1884983970966807e-06,1.518628782843893e-06,1.6007492922894007e-06,2.20923576581445e-06,2.7076914785633664e-06,3.3225491475712014e-06,4.09998108524558e-06,4.448855185586919e-06,4.271244450207584e-06,3.739388130360559e-06,3.4997806094340055e-06,3.155864557762426e-06,2.7553490350539228e-06,2.6830543562425417e-06,2.78430338644848e-06,3.388423391730235e-06,3.8440697990376875e-06,3.336579333991082e-06,2.0535260759083985e-06
7,1.7609956354597457e-06,2.9776508989030602e-06,3.139446524365796e-06,3.0750028512895905e-06,3.5373070054890987e-06,3.6025421668772353e-06,2.991677489011986e-06,2.151864472517721e-06,1.5943304487982297e-06,1.6917042912116664e-06,2.211333056262742e-06,3.0340399876349626e-06,3.6888335142679504e-06,3.636781412102856e-06,3.1551949851319578e-06,2.5629490435005204e-06,2.450761093359788e-06,2.6462600046348314e-06,2.580701018800418e-06,2.5528901218276026e-06,2.8575786605875754e-06,3.3278076676908143e-06,3.2997705695455816e-06,2.584256717232455e-06,1.4740645649682196e-06
8,1.819199474527152e-06,2.9250520733840446e-06,2.90764938389394e-06,2.5494563487599507e-06,2.924401483890087e-06,3.363719779542471e-06,3.101278006648987e-06,2.3908484242128856e-06,1.7712981483891974e-06,1.5826672710162066e-06,1.881036436045952e-06,2.562435266515492e-06,3.004770299829907e-06,2.754288317259242e-06,2.1322657351799054e-06,1.6348928998356126e-06,1.7772896200491437e-06,2.351266402097612e-06,2.59001956385492e-06,2.8450895209083312e-06,3.3827176868143144e-06,3.4854593419004533e-06,3.033993458293196e-06,2.3646547056751114e-06,1.2926779096843327e-06
9,1.7635639309017809e-06,2.631602997311644e-06,2.4356053572907384e-06,1.959227128568501e-06,2.303221971395222e-06,2.8950608144932954e-06,2.9174490173392605e-06,2.533585867550372e-06,2.1616997516048616e-06,1.9684462448967907e-06,1.9882205425750236e-06,2.3599737055255565e-06,2.7265489097789183e-06,2.4614153499672527e-06,1.7974862150895896e-06,1.5578784421828478e-06,1.932149441110317e-06,2.4108860845590845e-06,2.6251531866503037e-06,3.0464304086921114e-06,3.6982695869032694e-06,3.6846207862315285e-06,3.39183370414386e-06,3.098591670932029e-06,1.8196399592064542e-06
10,1.5159750091056039e-06,2.1263114777972993e-06,1.914060693452199e-06,1.6673968693891452e-06,2.0056203588594567e-06,2.47035307947113e-06,2.6837585324036556e-06,2.5706939207176937e-06,2.373263634148715e-06,2.365588556390379e-06,2.2481004712585753e-06,2.2163811085181484e-06,2.44464759454964e-06,2.3054911447431984e-06,1.976778109781282e-06,2.1382421890015994e-06,2.5942347597217636e-06,2.747316514901477e-06,2.777436545044927e-06,3.0874806950861704e-06,3.445296699974441e-06,3.354580681389873e-06,3.30304869650832e-06,3.3019606332943847e-06,2.0448669732937595e-06
11,1.5120773887822991e-06,2.0371575801484836e-06,1.7293411977968752e-06,1.5557166752143159e-06,1.7549561044809967e-06,2.1066041855018464e-06,2.372020011927542e-06,2.315473786951383e-06,2.221438413402279e-06,2.318181754138817e-06,2.1640012027168714e-06,1.9112892784857053e-06,1.9362358692344424e-06,1.9647045633306505e-06,2.209283483062412e-06,2.683113966211545e-06,2.9532762153046214e-06,2.8842445108009443e-06,3.0798416238534294e-06,3.5032688610619236e-06,3.405840621179983e-06,2.974286152967889e-06,2.885214592355746e-06,2.9084306208991662e-06,1.8559274386823912e-06
12,1.6214851005951575e-06,2.295881391072451e-06,2.0003553689880985e-06,1.7775813228986166e-06,1.9008167917819233e-06,2.2756131843980833e-06,2.298381956696824e-06,1.9003684697624763e-06,1.7095324905821486e-06,1.7865638050741423e-06,1.748927577163288e-06,1.6662392008271689e-06,1.615921204343073e-06,1.6943279612742787e-06,2.179515858391642e-06,2.6222789534749746e-06,2.6884191100530688e-06,2.7482902702860452e-06,3.3036524820710407e-06,3.8636406754715305e-06,3.5823253906334095e-06,3.0649276317676605e-06,3.045396039155036e-06,2.9925299652811644e-06,1.8815337047723435e-06
13,1.2399822324602708e-06,1.955927758247972e-06,1.9605762197739003e-06,1.955081458506113e-06,2.252570682894875e-06,2.5890276785140435e-06,2.2594180554632485e-06,1.596507587767777e-06,1.237771646562314e-06,1.2065678537064667e-06,1.2927463540349593e-06,1.409204478477786e-06,1.3650300483217093e-06,1.4304215836166874e-06,1.7808501025779647e-06,2.0562583585656952e-06,2.3410637378158295e-06,2.8705502320058322e-06,3.507202204541405e-06,3.883456744693255e-06,3.7520275931161645e-06,3.59589891395544e-06,3.848017208375582e-06,3.655057688394839e-06,2.1387879777101703e-06
14,8.749881327833755e-07,1.4629362305760478e-06,1.7356157242686367e-06,1.9063159908541364e-06,2.2828860081668103e-06,2.6639327912131762e-06,2.3537493260610884e-06,1.7193766352897018e-06,1.1606881459875547e-06,8.611664644408187e-07,8.721384884663722e-07,1.0170348206623915e-06,1.077901636128773e-06,1.2446393058293917e-06,1.5416704161822955e-06,1.85948451903312e-06,2.5246589381169253e-06,3.3197735232077994e-06,3.6377434627919265e-06,3.691451282682726e-06,3.825444513105901e-06,4.113198856623943e-06,4.481629330971316e-06,4.066271077259342e-06,2.284010991265103e-06
15,1.0670475850391374e-06,1.7447908447462746e-06,2.1687367086107263e-06,2.194478905295561e-06,2.387794439806856e-06,2.970492235980666e-06,2.8553543332920015e-06,2.075542419584608e-06,1.1959537422976857e-06,6.461544315434443e-07,6.421407139080438e-07,9.864068977456036e-07,1.2052627157829853e-06,1.3829473552765887e-06,1.657212667461769e-06,2.0380995262577354e-06,2.937126530282427e-06,3.84586586063434e-06,3.8428578115589135e-06,3.644901200334863e-06,3.840645670553369e-06,4.379524441145351e-06,4.754353392529835e-06,4.032492934692251e-06,2.157513221681311e-06
16,1.2924115834073668e-06,2.2105360207476333e-06,2.6351228934543306e-06,2.3381920348989904e-06,2.1680531069875815e-06,2.626162883073306e-06,2.629289936324438e-06,1.9161922865808183e-06,1.114434425042144e-06,6.698444486348679e-07,8.025321622317893e-07,1.3321564537722603e-06,1.6030799973503632e-06,1.7590343448143841e-06,2.0057231375895884e-06,2.1902222203498927e-06,2.8297068253634647e-06,3.674919693688028e-06,3.737248178147694e-06,3.5215966436723964e-06,3.494487351329636e-06,4.043676457096826e-06,4.6089312845836485e-06,3.847772189341579e-06,1.9953140383868383e-06
17,1.3017960399762727e-06,2.3151283041482937e-06,2.6621425579120186e-06,2.1138350930359863e-06,1.5249892554385468e-06,1.6346643755839738e-06,1.7460496362117703e-06,1.3404039580804547e-06,9.297668982906934e-07,8.578177157826822e-07,1.0551897146466491e-06,1.379869386840962e-06,1.5380708749639148e-06,1.7572136465113481e-06,2.067916631986193e-06,2.155321447461073e-06,2.349030777566458e-06,2.7321305841363465e-06,2.8861410156483288e-06,2.784568353580049e-06,2.611764672714236e-06,2.987451419854641e-06,3.4793423893138712e-06,2.9538094872511683e-06,1.5841495224487696e-06
18,1.2388863293396062e-06,2.1655133147812215e-06,2.572298375134886e-06,2.0096581690039952e-06,1.1391826373152968e-06,1.0035494473488517e-06,1.1070913017559124e-06,8.777945688688758e-07,7.707923655375085e-07,9.818295998342567e-07,1.1117504012591775e-06,1.1561704151109552e-06,1.2070238461339832e-06,1.2997293161752514e-06,1.5039357977807703e-06,1.7172016263069567e-06,1.8438761836398927e-06,1.8109011159973104e-06,1.8211538851722182e-06,1.9290833095936034e-06,2.148226491117053e-06,2.6109440383778234e-06,2.8068034769830278e-06,2.228190910035118e-06,1.2073844548610727e-06
19,9.435642161301172e-07,1.743656365071848e-06,2.3030076986749607e-06,1.9523426938421287e-06,1.1207508528117662e-06,8.034669113378883e-07,7.199878814038011e-07,6.312417552550112e-07,7.844591662857946e-07,1.0532646298879807e-06,1.178831952078493e-06,1.3185397382316488e-06,1.389834485424425e-06,1.1859484380339788e-06,1.0305056617271825e-06,1.1230595839399403e-06,1.240411767962399e-06,1.1209489743446005e-06,1.0670653765855917e-06,1.3158204195120098e-06,1.8861809038481285e-06,2.539833595209374e-06,2.647392632177075e-06,1.945229257920175e-06,9.71174045436372e-07
20,5.441104512714331e-07,1.1032701124157207e-06,1.6580059570440067e-06,1.7652903146836194e-06,1.3470474529839232e-06,8.74517129507578e-07,6.388795677177716e-07,7.922487445475521e-07,1.1258652943272042e-06,1.2291368361115697e-06,1.4117101585081846e-06,2.0110638499885664e-06,2.310566900237622e-06,1.789994482716948e-06,1.2515403260627304e-06,1.0932106344654243e-06,1.2015646237164795e-06,1.2299723670548874e-06,1.2034228621277028e-06,1.2816730437060442e-06,1.5840583099240586e-06,2.0638788673352213e-06,2.095852309299507e-06,1.443285887829999e-06,6.605676024667521e-07
21,4.3847781503502397e-07,8.697708701503376e-07,1.4146847294538957e-06,1.9185102089717786e-06,1.941465900865799e-06,1.4547671369275341e-06,1.1123371695233014e-06,1.3734217232611496e-06,1.7310158031179678e-06,1.6355992007181814e-06,1.7634674506059212e-06,2.7999654338854384e-06,3.5392637122941845e-06,2.765857557473387e-06,1.8802220039268926e-06,1.5265034852045089e-06,1.6306920033258127e-06,1.8036442485398494e-06,1.8707384374085533e-06,1.8961063967980493e-06,1.955830385796727e-06,2.1565745145180647e-06,1.929176774879348e-06,1.152540874745127e-06,4.887284865426589e-07
22,5.519392708115565e-07,1.0136247679820488e-06,1.4145718080657405e-06,1.8315241856092046e-06,2.2568468019057382e-06,2.2217743180126126e-06,1.8529303384885563e-06,1.9075086251548243e-06,2.0896190421528777e-06,1.971730001839758e-06,2.0533746859671465e-06,2.9927876389148953e-06,3.847912806455414e-06,3.163983674321316e-06,2.2391463084273257e-06,1.7765224284122498e-06,1.7085611605325165e-06,1.8248968366883225e-06,2.033069229422866e-06,2.3922912473959918e-06,2.6592190615517186e-06,2.6425893886113985e-06,2.0440343905273596e-06,1.1256211709448386e-06,4.538473135835984e-07
23,6.830008192758408e-07,1.1241864550239791e-06,1.1898700899871602e-06,1.2156757619666642e-06,1.7682827294078546e-06,2.241141948552016e-06,2.158809033049082e-06,2.170287318604951e-06,2.098070335478121e-06,2.0224275262763415e-06,2.219432474711344e-06,2.6692035954008903e-06,3.0495211958647767e-06,2.6844027509251735e-06,2.1455716435903286e-06,1.8261663643012207e-06,1.666003076540606e-06,1.5895609633290847e-06,1.759091415203088e-06,2.3838430772058907e-06,2.9104137340469546e-06,2.7560045518433226e-06,1.996137760371862e-06,1.1653157188869588e-06,4.832592960786033e-07
